id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2025-09-22;46284.62229167
SE;Sudeste/Centro-Oeste;2025-09-23;44285.757375
SE;Sudeste/Centro-Oeste;2025-09-24;43634.139125
SE;Sudeste/Centro-Oeste;2025-09-25;41689.40425
SE;Sudeste/Centro-Oeste;2025-09-26;40746.89858333
SE;Sudeste/Centro-Oeste;2025-09-27;37785.30783333
SE;Sudeste/Centro-Oeste;2025-09-28;35828.939125
SE;Sudeste/Centro-Oeste;2025-09-29;42772.096625
SE;Sudeste/Centro-Oeste;2025-09-30;45474.021
SE;Sudeste/Centro-Oeste;2025-10-01;45323.191
SE;Sudeste/Centro-Oeste;2025-10-02;45240.78283333
SE;Sudeste/Centro-Oeste;2025-10-03;45351.48733333
SE;Sudeste/Centro-Oeste;2025-10-04;41813.20220833
SE;Sudeste/Centro-Oeste;2025-10-05;39207.29358333
SE;Sudeste/Centro-Oeste;2025-10-06;47368.10983333
SE;Sudeste/Centro-Oeste;2025-10-07;47525.93920833
SE;Sudeste/Centro-Oeste;2025-10-08;45220.648
SE;Sudeste/Centro-Oeste;2025-10-09;44971.14341667
SE;Sudeste/Centro-Oeste;2025-10-10;44658.59633333
SE;Sudeste/Centro-Oeste;2025-10-11;41011.98191667
SE;Sudeste/Centro-Oeste;2025-10-12;38661.73279167
SE;Sudeste/Centro-Oeste;2025-10-13;45987.354
SE;Sudeste/Centro-Oeste;2025-10-14;46158.71841667
SE;Sudeste/Centro-Oeste;2025-10-15;45272.67695833
SE;Sudeste/Centro-Oeste;2025-10-16;46159.69575
SE;Sudeste/Centro-Oeste;2025-10-17;47812.44925
SE;Sudeste/Centro-Oeste;2025-10-18;44310.048875
SE;Sudeste/Centro-Oeste;2025-10-19;37169.76925
SE;Sudeste/Centro-Oeste;2025-10-20;40340.77841667
SE;Sudeste/Centro-Oeste;2025-10-21;40420.62275
SE;Sudeste/Centro-Oeste;2025-10-22;40662.95429167
SE;Sudeste/Centro-Oeste;2025-10-23;41267.891375
SE;Sudeste/Centro-Oeste;2025-10-24;42372.49933333
SE;Sudeste/Centro-Oeste;2025-10-25;41042.48008333
SE;Sudeste/Centro-Oeste;2025-10-26;39394.11754167
SE;Sudeste/Centro-Oeste;2025-10-27;45149.77225
SE;Sudeste/Centro-Oeste;2025-10-28;45894.49558333
SE;Sudeste/Centro-Oeste;2025-10-29;46803.11366667
SE;Sudeste/Centro-Oeste;2025-10-30;45600.37983333
SE;Sudeste/Centro-Oeste;2025-10-31;43929.88004167
SE;Sudeste/Centro-Oeste;2025-11-01;40827.64545833
SE;Sudeste/Centro-Oeste;2025-11-02;38919.66691667
SE;Sudeste/Centro-Oeste;2025-11-03;44463.189875
SE;Sudeste/Centro-Oeste;2025-11-04;45497.67016667
SE;Sudeste/Centro-Oeste;2025-11-05;46878.37379167
SE;Sudeste/Centro-Oeste;2025-11-06;45241.21908333
SE;Sudeste/Centro-Oeste;2025-11-07;45166.28045833
SE;Sudeste/Centro-Oeste;2025-11-08;42119.55708333
SE;Sudeste/Centro-Oeste;2025-11-09;36797.44070833
SE;Sudeste/Centro-Oeste;2025-11-10;41871.22454167
SE;Sudeste/Centro-Oeste;2025-11-11;43876.70904167
SE;Sudeste/Centro-Oeste;2025-11-12;45393.72658333
SE;Sudeste/Centro-Oeste;2025-11-13;46662.62329167
SE;Sudeste/Centro-Oeste;2025-11-14;46683.30345833
SE;Sudeste/Centro-Oeste;2025-11-15;41608.78220833
SE;Sudeste/Centro-Oeste;2025-11-16;40388.653
SE;Sudeste/Centro-Oeste;2025-11-17;47603.75304167
SE;Sudeste/Centro-Oeste;2025-11-18;47148.26775
SE;Sudeste/Centro-Oeste;2025-11-19;45158.834125
SE;Sudeste/Centro-Oeste;2025-11-20;41903.27658333
SE;Sudeste/Centro-Oeste;2025-11-21;44822.17170833
SE;Sudeste/Centro-Oeste;2025-11-22;44059.17166667
SE;Sudeste/Centro-Oeste;2025-11-23;40642.54433333
SE;Sudeste/Centro-Oeste;2025-11-24;45204.07183333
SE;Sudeste/Centro-Oeste;2025-11-25;44803.89445833
SE;Sudeste/Centro-Oeste;2025-11-26;45031.875625
SE;Sudeste/Centro-Oeste;2025-11-27;45668.05675
SE;Sudeste/Centro-Oeste;2025-11-28;46945.022375
SE;Sudeste/Centro-Oeste;2025-11-29;44041.74366667
SE;Sudeste/Centro-Oeste;2025-11-30;41679.84
SE;Sudeste/Centro-Oeste;2025-12-01;49317.68354167
SE;Sudeste/Centro-Oeste;2025-12-02;49717.447625
SE;Sudeste/Centro-Oeste;2025-12-03;48805.0015
SE;Sudeste/Centro-Oeste;2025-12-04;47123.823375
SE;Sudeste/Centro-Oeste;2025-12-05;46304.83945833
SE;Sudeste/Centro-Oeste;2025-12-06;44083.91879167
SE;Sudeste/Centro-Oeste;2025-12-07;41485.27795833
SE;Sudeste/Centro-Oeste;2025-12-08;47039.65779167
SE;Sudeste/Centro-Oeste;2025-12-09;46979.761125
SE;Sudeste/Centro-Oeste;2025-12-10;46008.13933333
SE;Sudeste/Centro-Oeste;2025-12-11;47592.01625
SE;Sudeste/Centro-Oeste;2025-12-12;48636.02570833
SE;Sudeste/Centro-Oeste;2025-12-13;44699.28816667
SE;Sudeste/Centro-Oeste;2025-12-14;40641.682875
SE;Sudeste/Centro-Oeste;2025-12-15;48081.393625
SE;Sudeste/Centro-Oeste;2025-12-16;49292.85816667
SE;Sudeste/Centro-Oeste;2025-12-17;44702.10645833
SE;Sudeste/Centro-Oeste;2025-12-18;43268.7085
SE;Sudeste/Centro-Oeste;2025-12-19;43503.36895833
SE;Sudeste/Centro-Oeste;2025-12-20;40805.78441667
SE;Sudeste/Centro-Oeste;2025-12-21;39314.99495833
SE;Sudeste/Centro-Oeste;2025-12-22;45233.63054167
SE;Sudeste/Centro-Oeste;2025-12-23;47066.55091667
SE;Sudeste/Centro-Oeste;2025-12-24;44867.482375
SE;Sudeste/Centro-Oeste;2025-12-25;40745.18591667
SE;Sudeste/Centro-Oeste;2025-12-26;46933.097375
SE;Sudeste/Centro-Oeste;2025-12-27;46604.419625
SE;Sudeste/Centro-Oeste;2025-12-28;44605.56625
SE;Sudeste/Centro-Oeste;2025-12-29;48437.28425
SE;Sudeste/Centro-Oeste;2025-12-30;49242.02170833
SE;Sudeste/Centro-Oeste;2025-12-31;45239.72320833
